function id,signature with docstring,function body
399,"def _hostsettings(ui, hostname) -> Dict[str, Any]:
    """"""Obtain security settings for a hostname.

    Returns a dict of settings relevant to that hostname.
    """"""","    s = {
        # Whether we should attempt to load default/available CA certs
        # if an explicit ``cafile`` is not defined.
        ""allowloaddefaultcerts"": True,
        # List of 2-tuple of (hash algorithm, hash).
        ""certfingerprints"": [],
        # Path to file containing concatenated CA certs. Used by
        # SSLContext.load_verify_locations().
        ""cafile"": None,
        # Whether certificate verification should be disabled.
        ""disablecertverification"": False,
        # Whether the legacy [hostfingerprints] section has data for this host.
        ""legacyfingerprint"": False,
        # PROTOCOL_* constant to use for SSLContext.__init__.
        ""protocol"": None,
        # String representation of minimum protocol to be used for UI
        # presentation.
        ""protocolui"": None,
        # ssl.CERT_* constant used by SSLContext.verify_mode.
        ""verifymode"": None,
        # Defines extra ssl.OP* bitwise options to set.
        ""ctxoptions"": None,
        # OpenSSL Cipher List to use (instead of default).
        ""ciphers"": None,
    }

    # Allow minimum TLS protocol to be specified in the config.
    def validateprotocol(protocol, key):
        if protocol not in configprotocols:
            raise error.Abort(
                _(""unsupported protocol from hostsecurity.%s: %s"") % (key, protocol),
                hint=_(""valid protocols: %s"") % "" "".join(sorted(configprotocols)),
            )

    # We default to TLS 1.1+ where we can because TLS 1.0 has known
    # vulnerabilities (like BEAST and POODLE). We allow users to downgrade to
    # TLS 1.0+ via config options in case a legacy server is encountered.
    if ""tls1.1"" in supportedprotocols:
        defaultprotocol = ""tls1.1""
    else:
        # Let people know they are borderline secure.
        # We don't document this config option because we want people to see
        # the bold warnings on the web site.
        # internal config: hostsecurity.disabletls10warning
        if not ui.configbool(""hostsecurity"", ""disabletls10warning""):
            ui.warn(
                _(
                    ""warning: connecting to %s using legacy security ""
                    ""technology (TLS 1.0); see ""
                    ""https://mercurial-scm.org/wiki/SecureConnections for ""
                    ""more info\n""
                )
                % hostname
            )
        defaultprotocol = ""tls1.0""

    key = ""minimumprotocol""
    protocol = ui.config(""hostsecurity"", key, defaultprotocol)
    validateprotocol(protocol, key)

    key = ""%s:minimumprotocol"" % hostname
    protocol = ui.config(""hostsecurity"", key, protocol)
    validateprotocol(protocol, key)

    # If --insecure is used, we allow the use of TLS 1.0 despite config options.
    # We always print a ""connection security to %s is disabled..."" message when
    # --insecure is used. So no need to print anything more here.
    if ui.insecureconnections:
        protocol = ""tls1.0""

    s[""protocol""], s[""ctxoptions""], s[""protocolui""] = protocolsettings(protocol)

    ciphers = ui.config(""hostsecurity"", ""ciphers"")
    ciphers = ui.config(""hostsecurity"", ""%s:ciphers"" % hostname, ciphers)
    s[""ciphers""] = ciphers

    # Look for fingerprints in [hostsecurity] section. Value is a list
    # of <alg>:<fingerprint> strings.
    fingerprints = ui.configlist(""hostsecurity"", ""%s:fingerprints"" % hostname)
    for fingerprint in fingerprints:
        if not (fingerprint.startswith((""sha1:"", ""sha256:"", ""sha512:""))):
            raise error.Abort(
                _(""invalid fingerprint for %s: %s"") % (hostname, fingerprint),
                hint=_('must begin with ""sha1:"", ""sha256:"", ' 'or ""sha512:""'),
            )

        alg, fingerprint = fingerprint.split("":"", 1)
        fingerprint = fingerprint.replace("":"", """").lower()
        # pyre-fixme[16]: Item `None` of `Union[None, List[typing.Any], bool]` has
        #  no attribute `append`.
        s[""certfingerprints""].append((alg, fingerprint))

    # Fingerprints from [hostfingerprints] are always SHA-1.
    for fingerprint in ui.configlist(""hostfingerprints"", hostname):
        fingerprint = fingerprint.replace("":"", """").lower()
        # pyre-fixme[16]: Item `None` of `Union[None, List[typing.Any], bool]` has
        #  no attribute `append`.
        s[""certfingerprints""].append((""sha1"", fingerprint))
        s[""legacyfingerprint""] = True

    # If a host cert fingerprint is defined, it is the only thing that
    # matters. No need to validate CA certs.
    if s[""certfingerprints""]:
        # pyre-fixme[6]: For 2nd param expected `Union[None, List[typing.Any],
        #  bool]` but got `VerifyMode`.
        s[""verifymode""] = ssl.CERT_NONE
        s[""allowloaddefaultcerts""] = False

    # If --insecure is used, don't take CAs into consideration.
    elif ui.insecureconnections:
        s[""disablecertverification""] = True
        # pyre-fixme[6]: For 2nd param expected `Union[None, List[typing.Any],
        #  bool]` but got `VerifyMode`.
        s[""verifymode""] = ssl.CERT_NONE
        s[""allowloaddefaultcerts""] = False

    if ui.configbool(""devel"", ""disableloaddefaultcerts""):
        s[""allowloaddefaultcerts""] = False

    # If both fingerprints and a per-host ca file are specified, issue a warning
    # because users should not be surprised about what security is or isn't
    # being performed.
    cafile = ui.config(""hostsecurity"", ""%s:verifycertsfile"" % hostname)
    if s[""certfingerprints""] and cafile:
        ui.warn(
            _(
                ""(hostsecurity.%s:verifycertsfile ignored when host ""
                ""fingerprints defined; using host fingerprints for ""
                ""verification)\n""
            )
            % hostname
        )

    # Try to hook up CA certificate validation unless something above
    # makes it not necessary.
    if s[""verifymode""] is None:
        # Look at per-host ca file first.
        if cafile:
            cafile = util.expandpath(cafile)
            if not os.path.exists(cafile):
                raise error.Abort(
                    _(""path specified by %s does not exist: %s"")
                    % (""hostsecurity.%s:verifycertsfile"" % hostname, cafile)
                )
            s[""cafile""] = cafile
        else:
            # Find global certificates file in config.
            cafile = ui.config(""web"", ""cacerts"")

            if cafile:
                cafile = util.expandpath(cafile)
                if not os.path.exists(cafile):
                    raise error.Abort(_(""could not find web.cacerts: %s"") % cafile)
            elif s[""allowloaddefaultcerts""]:
                # CAs not defined in config. Try to find system bundles.
                cafile = _defaultcacerts(ui)
                if cafile:
                    ui.debug(""using %s for CA file\n"" % cafile)

            s[""cafile""] = cafile

        # Require certificate validation if CA certs are being loaded and
        # verification hasn't been disabled above.
        if cafile or (_canloaddefaultcerts and s[""allowloaddefaultcerts""]):
            # pyre-fixme[6]: For 2nd param expected `Union[None, List[typing.Any],
            #  bool]` but got `VerifyMode`.
            s[""verifymode""] = ssl.CERT_REQUIRED
        else:
            # At this point we don't have a fingerprint, aren't being
            # explicitly insecure, and can't load CA certs. Connecting
            # is insecure. We allow the connection and abort during
            # validation (once we have the fingerprint to print to the
            # user).
            # pyre-fixme[6]: For 2nd param expected `Union[None, List[typing.Any],
            #  bool]` but got `VerifyMode`.
            s[""verifymode""] = ssl.CERT_NONE

    assert s[""protocol""] is not None
    assert s[""ctxoptions""] is not None
    assert s[""verifymode""] is not None

    return s"
400,"    def enable_bpe_dropout(self, enabled: bool):
        """"""
        Used to toggle BPE dropout on (True) or off (False).
        """"""",        self._bpe_dropout_enabled = enabled
401,"    def __init__(self, opt: Opt, dictionary: DictionaryAgent, shared: TShared = None):
        """"""
        Initialize DPR model.

        It is up to subclasses to initialize rerankers.
        """"""","        RagRetrieverReranker.__init__(self, opt, dictionary, shared=shared)
        self.dpr_num_docs = opt['dpr_num_docs']
        assert self.dpr_num_docs
        dpr_opt = copy.deepcopy(opt)
        dpr_opt['n_docs'] = self.dpr_num_docs
        DPRRetriever.__init__(self, dpr_opt, dictionary, shared=shared)"
402,"def perfdiffwd(ui, repo, **opts):
    """"""Profile diff of working directory changes""""""","    timer, fm = gettimer(ui, opts)
    options = {
        ""w"": ""ignore_all_space"",
        ""b"": ""ignore_space_change"",
        ""B"": ""ignore_blank_lines"",
    }

    for diffopt in ("""", ""w"", ""b"", ""B"", ""wB""):
        opts = dict((options[c], ""1"") for c in diffopt)

        def d():
            ui.pushbuffer()
            commands.diff(ui, repo, **opts)
            ui.popbuffer()

        title = ""diffopts: %s"" % (diffopt and (""-"" + diffopt) or ""none"")
        timer(d, title)
    fm.end()"
403,"def patch(obj, attribute, value):
    """"""Set 'obj.attribute' to 'value' and return a callable to restore 'obj'.

    If 'attribute' is not set on 'obj' already, then the returned callable
    will delete the attribute when called.

    :param obj: An object to monkey-patch.
    :param attribute: The name of the attribute to patch.
    :param value: The value to set 'obj.attribute' to.
    :return: A nullary callable that, when run, will restore 'obj' to its
        original state.
    """"""","    patcher = MonkeyPatcher((obj, attribute, value))
    patcher.patch()
    return patcher.restore"
404,"    def has_metadata(name):
        """"""Does the package's distribution contain the named metadata?""""""",
405,"def unwrapfunction(container, funcname, wrapper=None):
    """"""undo wrapfunction

    If wrappers is None, undo the last wrap. Otherwise removes the wrapper
    from the chain of wrappers.

    Return the removed wrapper.
    Raise IndexError if wrapper is None and nothing to unwrap; ValueError if
    wrapper is not None but is not found in the wrapper chain.
    """"""","    chain = getwrapperchain(container, funcname)
    origfn = chain.pop()
    if wrapper is None:
        wrapper = chain[0]
    chain.remove(wrapper)
    setattr(container, funcname, origfn)
    for w in reversed(chain):
        wrapfunction(container, funcname, w)
    return wrapper"
406,"def extdatasource(repo, source):
    """"""Gather a map of rev -> value dict from the specified source

    A source spec is treated as a URL, with a special case shell: type
    for parsing the output from a shell command.

    The data is parsed as a series of newline-separated records where
    each record is a revision specifier optionally followed by a space
    and a freeform string value. If the revision is known locally, it
    is converted to a rev, otherwise the record is skipped.

    Note that both key and value are treated as UTF-8 and converted to
    the local encoding. This allows uniformity between local and
    remote data sources.
    """"""","
    spec = repo.ui.config(""extdata"", source)
    if not spec:
        raise error.Abort(_(""unknown extdata source '%s'"") % source)

    data = {}
    src = proc = None
    try:
        if spec.startswith(""shell:""):
            # external commands should be run relative to the repo root
            cmd = spec[6:]
            proc = subprocess.Popen(
                cmd,
                shell=True,
                bufsize=-1,
                close_fds=util.closefds,
                stdout=subprocess.PIPE,
                cwd=repo.root,
            )
            src = proc.stdout
        else:
            # treat as a URL or file
            src = url.open(repo.ui, spec)
        for l in src:
            if b"" "" in l:
                k, v = l.strip().split(b"" "", 1)
            else:
                k, v = l.strip(), b""""

            k = k.decode(""utf8"")
            try:
                data[repo[k].rev()] = v.decode(""utf8"")
            except (error.LookupError, error.RepoLookupError):
                pass  # we ignore data for nodes that don't exist locally
    finally:
        if proc:
            proc.communicate()
        if src:
            src.close()
    if proc and proc.returncode != 0:
        raise error.Abort(
            _(""extdata command '%s' failed: %s"")
            % (cmd, util.explainexit(proc.returncode)[0])
        )

    return data"
407,"    def __init__(self, embeddings, hidden_size):
        """"""
        Initialization.

        Arguments here can be used to provide hyperparameters.
        """"""","        super().__init__()
        self.embeddings = embeddings
        self.lstm = nn.LSTM(
            input_size=hidden_size,
            hidden_size=hidden_size,
            num_layers=1,
            batch_first=True,
        )"
408,"def get_multi_run_analyzer(opt) -> MultiRunAcuteAnalyzer:
    """"""
    Return an object to analyze the results of multiple runs simultaneously.

    Load HITs from each run into a separate dataframe, and then pass all dataframes into
    a separate analyzer class that will concatenate them.
    """"""","
    run_ids = opt['run_ids'].split(',')

    # Define paths
    assert (
        opt['outdir'] is not None
    ), '--outdir must be specified when combining results of multiple runs!'
    timestamp = datetime.now().strftime('%Y%m%d_%H%M%S')
    opt['outdir'] = os.path.join(opt['outdir'], f'combined_runs_{timestamp}')
    os.makedirs(opt['outdir'], exist_ok=True)
    run_id_list_path = os.path.join(opt['outdir'], 'run_ids.txt')

    # Save a simple list of all run IDs stitched together
    with open(run_id_list_path, 'w') as f:
        for run_id in run_ids:
            f.write(run_id + '\n')

    # Loop loading HITs over all run ids into dataframes
    dataframes = {}
    for run_id in run_ids:
        print(f'\nStarting to load HITs for run ID {run_id}.')
        opt_copy = deepcopy(opt)
        opt_copy['run_ids'] = run_id
        dataframes[run_id] = AcuteAnalyzer(opt_copy).dataframe

    return MultiRunAcuteAnalyzer(opt=opt, dataframes=dataframes)"
